episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
88,1390.0,1053,51253,0.2,0.05018281316324474,208.2665721630001,True,False
89,1280.0,679,51932,0.2,0.052613470067872724,210.66054023000015,True,False
90,430.0,439,52371,0.2,0.04176319381136687,212.30103319199952,True,False
91,330.0,410,52781,0.2,0.05009509145182747,213.96968109799946,True,False
92,450.0,465,53246,0.2,0.05100362700789541,216.29247484299958,True,False
93,510.0,456,53702,0.2,0.05509059579650823,217.95557740099957,True,False
94,380.0,359,54061,0.2,0.04896944088136984,219.33390018599948,True,False
95,330.0,420,54481,0.2,0.05417574517916711,220.88546633900023,True,False
96,370.0,493,54974,0.2,0.057592259216447915,222.70098485800008,True,False
97,240.0,323,55297,0.2,0.05537062928218533,223.975966082,True,False
98,1600.0,922,56219,0.2,0.04953785178089595,227.57785624699954,True,False
99,740.0,639,56858,0.2,0.04927592774947698,230.3243599030002,True,False
100,1400.0,687,57545,0.2,0.051135854893715964,232.7418006930002,True,False
